date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking,home_avg_goals_scored,away_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_conceded,home_wins,away_wins,home_losses,away_losses,home_draws,away_draws
2023-01-08,Iceland,Estonia,1.0,1.0,Friendly,Albufeira,Portugal,True,63,109,1.0,1.8,0.8,0.4,1,3,0,0,4,2
2023-01-09,Sweden,Finland,2.0,0.0,Friendly,Faro-Loulé,Portugal,True,23,56,1.0,1.4,2.2,1.2,0,1,4,1,1,3
2023-01-12,Finland,Estonia,0.0,1.0,Friendly,Albufeira,Portugal,True,56,109,1.0,2.0,1.0,0.6,1,3,1,0,3,2
2023-01-12,Sweden,Iceland,2.0,1.0,Friendly,Faro-Loulé,Portugal,True,23,63,1.2,1.0,1.8,1.0,1,0,3,0,1,5
2023-03-22,Republic of Ireland,Latvia,3.0,2.0,Friendly,Dublin,Republic of Ireland,False,48,133,1.4,1.2,1.4,1.0,2,1,2,1,1,3
2023-03-23,Hungary,Estonia,1.0,0.0,Friendly,Budapest,Hungary,False,36,109,1.8,1.8,1.0,0.4,3,3,1,0,1,2
2023-03-23,Italy,England,1.0,2.0,UEFA Euro qualification,Napoli,Italy,False,8,5,1.6,1.4,1.6,2.0,3,1,2,3,0,1
2023-03-23,North Macedonia,Malta,2.0,1.0,UEFA Euro qualification,Skopje,North Macedonia,False,65,167,1.2,1.2,1.4,1.2,1,2,3,2,1,1
2023-03-23,Denmark,Finland,3.0,1.0,UEFA Euro qualification,Copenhagen,Denmark,False,18,56,1.2,0.8,1.0,1.0,2,1,3,2,0,2
2023-03-23,San Marino,Northern Ireland,0.0,2.0,UEFA Euro qualification,Serravalle,San Marino,False,211,59,0.0,1.4,2.0,1.8,0,1,5,2,0,2
2023-03-23,Kazakhstan,Slovenia,1.0,2.0,UEFA Euro qualification,Astana,Kazakhstan,False,115,62,1.2,1.6,1.2,1.0,3,3,1,0,1,2
2023-03-23,Portugal,Liechtenstein,4.0,0.0,UEFA Euro qualification,Lisbon,Portugal,False,9,198,2.4,0.2,0.6,2.0,3,0,2,5,0,0
2023-03-23,Bosnia and Herzegovina,Iceland,3.0,0.0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,57,63,1.4,0.8,1.4,1.0,3,0,1,1,1,4
2023-03-23,Slovakia,Luxembourg,0.0,0.0,UEFA Euro qualification,Trnava,Slovakia,False,54,92,1.2,1.6,1.4,1.4,1,1,2,0,2,4
2023-03-24,Gibraltar,Greece,0.0,3.0,UEFA Euro qualification,Faro-Loulé,Portugal,True,200,51,1.0,1.6,2.2,1.2,2,2,3,2,0,1
2023-03-24,France,Netherlands,4.0,0.0,UEFA Euro qualification,Paris,France,False,3,6,1.8,2.0,1.0,1.0,4,4,1,0,0,1
2023-03-24,Czech Republic,Poland,3.0,1.0,UEFA Euro qualification,Prague,Czech Republic,False,0,22,1.4,0.8,2.0,1.6,1,1,4,3,0,1
2023-03-24,Moldova,Faroe Islands,1.0,1.0,UEFA Euro qualification,Chișinău,Moldova,False,174,123,1.4,1.2,1.8,2.0,3,1,2,1,0,3
2023-03-24,Austria,Azerbaijan,4.0,1.0,UEFA Euro qualification,Pasching,Austria,False,34,121,0.8,2.4,1.4,0.6,2,5,3,0,0,0
2023-03-24,Sweden,Belgium,0.0,3.0,UEFA Euro qualification,Stockholm,Sweden,False,23,4,1.6,0.8,1.8,0.6,2,2,2,1,1,2
2023-03-24,Bulgaria,Montenegro,0.0,1.0,UEFA Euro qualification,Razgrad,Bulgaria,False,71,69,1.6,1.0,0.2,1.2,3,1,0,3,2,1
2023-03-24,Serbia,Lithuania,2.0,0.0,UEFA Euro qualification,Belgrade,Serbia,False,29,144,2.2,0.2,1.2,1.2,3,0,1,3,1,2
2023-03-25,Scotland,Cyprus,3.0,0.0,UEFA Euro qualification,Glasgow,Scotland,False,42,110,2.0,1.4,0.8,2.2,3,2,1,2,1,1
2023-03-25,Spain,Norway,3.0,0.0,UEFA Euro qualification,Málaga,Spain,False,10,43,1.2,1.4,0.6,1.6,3,2,1,2,1,1
2023-03-25,Croatia,Wales,1.0,1.0,UEFA Euro qualification,Split,Croatia,False,7,28,1.4,0.8,0.4,2.0,4,0,0,4,1,1
2023-03-25,Armenia,Turkey,1.0,2.0,UEFA Euro qualification,Yerevan,Armenia,False,95,44,1.0,2.0,3.2,1.4,0,3,4,1,1,1
2023-03-25,Belarus,Switzerland,0.0,5.0,UEFA Euro qualification,Novi Sad,Serbia,True,97,12,0.6,1.8,1.2,2.0,0,4,2,1,3,0
2023-03-25,Israel,Kosovo,1.0,1.0,UEFA Euro qualification,Tel Aviv,Israel,False,76,107,1.8,1.8,1.8,1.6,2,1,2,2,1,2
2023-03-25,Andorra,Romania,0.0,2.0,UEFA Euro qualification,Andorra la Vella,Andorra,False,153,52,0.8,2.2,1.0,1.4,1,2,3,2,1,1
2023-03-26,England,Ukraine,2.0,0.0,UEFA Euro qualification,London,England,False,5,26,1.8,1.8,1.4,0.8,2,2,2,1,1,2
2023-03-26,Malta,Italy,0.0,2.0,UEFA Euro qualification,Ta' Qali,Malta,False,167,8,1.2,1.4,1.6,1.0,1,3,3,2,1,0
2023-03-26,Slovenia,San Marino,2.0,0.0,UEFA Euro qualification,Ljubljana,Slovenia,False,62,211,1.6,0.0,0.8,2.0,4,0,0,5,1,0
2023-03-26,Kazakhstan,Denmark,3.0,2.0,UEFA Euro qualification,Astana,Kazakhstan,False,115,18,1.2,1.8,1.6,1.0,2,3,2,2,1,0
2023-03-26,Northern Ireland,Finland,0.0,1.0,UEFA Euro qualification,Belfast,Northern Ireland,False,59,56,1.8,0.6,1.8,1.6,2,0,2,3,1,2
2023-03-26,Liechtenstein,Iceland,0.0,7.0,UEFA Euro qualification,Vaduz,Liechtenstein,False,198,63,0.0,0.6,2.4,1.4,0,0,5,2,0,3
2023-03-26,Luxembourg,Portugal,0.0,6.0,UEFA Euro qualification,Luxembourg,Luxembourg,False,92,9,1.2,2.8,1.0,0.6,1,3,0,2,4,0
2023-03-26,Slovakia,Bosnia and Herzegovina,2.0,0.0,UEFA Euro qualification,Bratislava,Slovakia,False,54,57,1.0,1.8,1.4,1.4,0,3,2,1,3,1
2023-03-27,Greece,Lithuania,0.0,0.0,Friendly,Athens,Greece,False,51,144,1.8,0.2,1.2,1.2,2,0,2,3,1,2
2023-03-27,North Macedonia,Faroe Islands,1.0,0.0,Friendly,Skopje,North Macedonia,False,65,123,0.8,1.0,1.6,1.8,1,1,3,1,1,3
