date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking,home_avg_goals,away_avg_goals,home_wins,away_wins,home_losses,away_losses,home_draws,away_draws
2014-01-15,Moldova,Norway,1.0,2.0,Friendly,Abu Dhabi,United Arab Emirates,True,96,54,0.0,0.0,0,0,0,0,0,0
2014-01-17,Moldova,Sweden,1.0,2.0,Friendly,Abu Dhabi,United Arab Emirates,True,96,26,0.2,0.4,0,0,1,0,0,0
2014-01-18,Norway,Poland,0.0,3.0,Friendly,Abu Dhabi,United Arab Emirates,True,59,77,0.4,0.2,1,0,0,0,0,0
2014-01-20,Moldova,Poland,0.0,1.0,Friendly,Abu Dhabi,United Arab Emirates,True,96,77,0.4,0.8,0,1,2,0,0,0
2014-01-21,Iceland,Sweden,0.0,2.0,Friendly,Abu Dhabi,United Arab Emirates,True,49,26,0.0,0.0,0,1,0,0,0,0
2014-03-01,Gibraltar,Faroe Islands,1.0,4.0,Friendly,Gibraltar,Gibraltar,False,205,172,0.0,0.0,0,0,0,0,0,0
2014-03-05,Albania,Malta,2.0,0.0,Friendly,Durrës,Albania,False,55,131,0.0,0.0,0,0,0,0,0,0
2014-03-05,Andorra,Moldova,0.0,3.0,Friendly,Sant Julià de Lòria,Andorra,False,198,107,0.0,0.0,0,0,0,3,0,0
2014-03-05,Bulgaria,Belarus,2.0,1.0,Friendly,Sofia,Bulgaria,False,72,82,0.0,0.0,0,0,0,0,0,0
2014-03-05,Cyprus,Northern Ireland,0.0,0.0,Friendly,Nicosia,Cyprus,False,122,85,0.0,0.0,0,0,0,0,0,0
2014-03-05,Czech Republic,Norway,2.0,2.0,Friendly,Prague,Czech Republic,False,0,60,0.0,0.0,0,1,0,1,0,0
2014-03-05,England,Denmark,1.0,0.0,Friendly,London,England,False,15,20,0.0,0.0,0,0,0,0,0,0
2014-03-05,France,Netherlands,2.0,0.0,Friendly,Saint-Denis,France,False,18,10,0.0,0.0,0,0,0,0,0,0
2014-03-05,Georgia,Liechtenstein,2.0,0.0,Friendly,Tbilisi,Georgia,False,103,150,0.0,0.0,0,0,0,0,0,0
2014-03-05,Gibraltar,Estonia,0.0,2.0,Friendly,Gibraltar,Gibraltar,False,205,91,0.2,0.8,0,0,1,0,0,0
2014-03-05,Hungary,Finland,1.0,2.0,Friendly,Győr,Hungary,False,44,65,0.0,0.0,0,0,0,0,0,0
2014-03-05,Republic of Ireland,Serbia,1.0,2.0,Friendly,Dublin,Republic of Ireland,False,67,29,0.0,0.0,0,0,0,0,0,0
2014-03-05,Israel,Slovakia,1.0,3.0,Friendly,Netanya,Israel,False,56,54,0.0,0.0,0,0,0,0,0,0
