date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking
2020-09-03,Germany,Spain,1.0,1.0,UEFA Nations League,Stuttgart,Germany,False,15,8
2020-09-03,Ukraine,Switzerland,2.0,1.0,UEFA Nations League,Lviv,Ukraine,False,24,12
2020-09-03,Russia,Serbia,3.0,1.0,UEFA Nations League,Moscow,Russia,False,38,29
2020-09-03,Turkey,Hungary,0.0,1.0,UEFA Nations League,Sivas,Turkey,False,29,52
2020-09-03,Bulgaria,Republic of Ireland,1.0,1.0,UEFA Nations League,Sofia,Bulgaria,False,59,34
2020-09-03,Finland,Wales,0.0,1.0,UEFA Nations League,Helsinki,Finland,False,58,23
2020-09-03,Slovenia,Greece,0.0,0.0,UEFA Nations League,Ljubljana,Slovenia,False,64,54
2020-09-04,Netherlands,Poland,1.0,0.0,UEFA Nations League,Amsterdam,Netherlands,False,14,19
2020-09-04,Norway,Austria,1.0,2.0,UEFA Nations League,Oslo,Norway,False,44,26
2020-09-04,Romania,Northern Ireland,1.0,1.0,UEFA Nations League,Bucharest,Romania,False,37,36
2020-09-04,Slovakia,Czech Republic,1.0,3.0,UEFA Nations League,Bratislava,Slovakia,False,32,0
2020-09-05,Iceland,England,0.0,1.0,UEFA Nations League,Reykjavík,Iceland,False,39,4
2020-09-05,Denmark,Belgium,0.0,2.0,UEFA Nations League,Copenhagen,Denmark,False,16,1
2020-09-05,Portugal,Croatia,4.0,1.0,UEFA Nations League,Porto,Portugal,False,7,6
2020-09-05,Sweden,France,0.0,1.0,UEFA Nations League,Stockholm,Sweden,False,17,2
2020-09-06,Spain,Ukraine,4.0,0.0,UEFA Nations League,Madrid,Spain,False,8,24
2020-09-06,Switzerland,Germany,1.0,1.0,UEFA Nations League,Basel,Switzerland,False,12,15
2020-09-06,Hungary,Russia,2.0,3.0,UEFA Nations League,Budapest,Hungary,False,52,38
2020-09-06,Serbia,Turkey,0.0,0.0,UEFA Nations League,Belgrade,Serbia,False,29,29
2020-09-06,Wales,Bulgaria,1.0,0.0,UEFA Nations League,Cardiff,Wales,False,23,59
2020-09-06,Republic of Ireland,Finland,0.0,1.0,UEFA Nations League,Dublin,Republic of Ireland,False,34,58
2020-09-07,Netherlands,Italy,0.0,1.0,UEFA Nations League,Amsterdam,Netherlands,False,14,13
2020-09-07,Northern Ireland,Norway,1.0,5.0,UEFA Nations League,Belfast,Northern Ireland,False,36,44
2020-09-07,Austria,Romania,2.0,3.0,UEFA Nations League,Klagenfurt,Austria,False,26,37
2020-09-07,Czech Republic,Scotland,1.0,2.0,UEFA Nations League,Olomouc,Czech Republic,False,0,50
2020-09-08,Belgium,Iceland,5.0,1.0,UEFA Nations League,Brussels,Belgium,False,1,39
2020-09-08,Denmark,England,0.0,0.0,UEFA Nations League,Copenhagen,Denmark,False,16,4
2020-09-08,France,Croatia,4.0,2.0,UEFA Nations League,Paris,France,False,2,6
2020-09-08,Sweden,Portugal,0.0,2.0,UEFA Nations League,Stockholm,Sweden,False,17,7
