date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking
2020-10-07,Austria,Greece,2.0,1.0,Friendly,Klagenfurt,Austria,False,27,53
2020-10-07,France,Ukraine,7.0,1.0,Friendly,Paris,France,False,2,24
2020-10-07,Germany,Turkey,3.0,3.0,Friendly,Cologne,Germany,False,14,32
2020-10-07,Poland,Finland,5.0,1.0,Friendly,Gdańsk,Poland,False,19,56
2020-10-07,Portugal,Spain,0.0,0.0,Friendly,Lisbon,Portugal,False,5,7
2020-10-07,Switzerland,Croatia,1.0,2.0,Friendly,St. Gallen,Switzerland,False,15,8
2020-10-08,England,Wales,3.0,0.0,Friendly,London,England,False,4,21
2020-10-08,Russia,Sweden,1.0,2.0,Friendly,Moscow,Russia,False,32,18
2020-11-11,Belgium,Switzerland,2.0,1.0,Friendly,Leuven,Belgium,False,1,16
2020-11-11,Denmark,Sweden,2.0,0.0,Friendly,Brondbyvester,Denmark,False,13,19
2020-11-11,France,Finland,0.0,2.0,Friendly,Paris,France,False,2,55
2020-11-11,Germany,Czech Republic,1.0,0.0,Friendly,Leipzig,Germany,False,14,0
2020-11-11,Netherlands,Spain,1.0,1.0,Friendly,Amsterdam,Netherlands,False,15,6
2020-11-11,Poland,Ukraine,2.0,0.0,Friendly,Chorzów,Poland,False,18,23
2020-11-11,Turkey,Croatia,3.0,3.0,Friendly,Istanbul,Turkey,False,33,9
2020-11-12,England,Republic of Ireland,3.0,0.0,Friendly,London,England,False,4,36
2021-03-31,Switzerland,Finland,3.0,2.0,Friendly,St. Gallen,Switzerland,False,16,55
2021-05-29,Sweden,Finland,2.0,0.0,Friendly,Stockholm,Sweden,False,18,54
2021-06-01,Poland,Russia,1.0,1.0,Friendly,Wrocław,Poland,False,21,38
2021-06-01,Slovakia,Bulgaria,1.0,1.0,Friendly,Ried im Innkreis,Austria,True,36,71
2021-06-02,England,Austria,1.0,0.0,Friendly,London,England,False,4,23
2021-06-02,France,Wales,3.0,0.0,Friendly,Nice,France,False,2,17
2021-06-02,Germany,Denmark,1.0,1.0,Friendly,Innsbruck,Austria,True,12,10
2021-06-02,Netherlands,Scotland,2.0,2.0,Friendly,São João da Venda,Portugal,True,16,44
2021-06-03,Belgium,Greece,1.0,1.0,Friendly,Brussels,Belgium,False,1,51
2021-06-03,Ukraine,Northern Ireland,1.0,0.0,Friendly,Dnipro,Ukraine,False,24,48
2021-06-04,Italy,Czech Republic,4.0,0.0,Friendly,Bologna,Italy,False,7,0
2021-06-04,Spain,Portugal,0.0,0.0,Friendly,Madrid,Spain,False,6,5
2021-06-05,Russia,Bulgaria,1.0,0.0,Friendly,Moscow,Russia,False,38,71
2021-06-05,Wales,Albania,0.0,0.0,Friendly,Cardiff,Wales,False,17,66
2021-06-06,Austria,Slovakia,0.0,0.0,Friendly,Vienna,Austria,False,23,36
2021-06-06,Belgium,Croatia,1.0,0.0,Friendly,Brussels,Belgium,False,1,14
2021-06-06,England,Romania,1.0,0.0,Friendly,London,England,False,4,43
2021-06-06,Norway,Greece,1.0,2.0,Friendly,Málaga,Spain,True,42,51
2021-06-07,Germany,Latvia,7.0,1.0,Friendly,Düsseldorf,Germany,False,12,138
2021-06-08,Czech Republic,Albania,3.0,1.0,Friendly,Prague,Czech Republic,False,0,66
2021-06-08,France,Bulgaria,3.0,0.0,Friendly,Paris,France,False,2,71
2021-06-08,Hungary,Republic of Ireland,0.0,0.0,Friendly,Budapest,Hungary,False,37,47
