date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking
2020-01-07,Barbados,Canada,1.0,4.0,Friendly,Irvine,United States,True,0,0
2020-01-09,Moldova,Sweden,0.0,1.0,Friendly,Doha,Qatar,True,175,17
2020-01-10,Barbados,Canada,1.0,4.0,Friendly,Irvine,United States,True,0,0
2020-01-12,Kosovo,Sweden,0.0,1.0,Friendly,Doha,Qatar,True,115,17
2020-01-15,Canada,Iceland,0.0,1.0,Friendly,Irvine,United States,True,0,39
2020-01-19,El Salvador,Iceland,0.0,1.0,Friendly,Carson,United States,True,0,39
2020-02-01,United States,Costa Rica,1.0,0.0,Friendly,Carson,United States,False,0,0
2020-09-03,Germany,Spain,1.0,1.0,UEFA Nations League,Stuttgart,Germany,False,15,8
2020-09-03,Ukraine,Switzerland,2.0,1.0,UEFA Nations League,Lviv,Ukraine,False,24,12
2020-09-03,Russia,Serbia,3.0,1.0,UEFA Nations League,Moscow,Russia,False,38,29
2020-09-03,Turkey,Hungary,0.0,1.0,UEFA Nations League,Sivas,Turkey,False,29,52
2020-09-03,Bulgaria,Republic of Ireland,1.0,1.0,UEFA Nations League,Sofia,Bulgaria,False,59,34
2020-09-03,Finland,Wales,0.0,1.0,UEFA Nations League,Helsinki,Finland,False,58,23
2020-09-03,Moldova,Kosovo,1.0,1.0,UEFA Nations League,Parma,Italy,True,175,115
2020-09-03,Slovenia,Greece,0.0,0.0,UEFA Nations League,Ljubljana,Slovenia,False,64,54
2020-09-03,Latvia,Andorra,0.0,0.0,UEFA Nations League,Riga,Latvia,False,137,135
2020-09-03,Faroe Islands,Malta,3.0,2.0,UEFA Nations League,Tórshavn,Faroe Islands,False,110,184
2020-09-04,Italy,Bosnia and Herzegovina,1.0,1.0,UEFA Nations League,Florence,Italy,False,13,49
2020-09-04,Netherlands,Poland,1.0,0.0,UEFA Nations League,Amsterdam,Netherlands,False,14,19
2020-09-04,Norway,Austria,1.0,2.0,UEFA Nations League,Oslo,Norway,False,44,26
2020-09-04,Romania,Northern Ireland,1.0,1.0,UEFA Nations League,Bucharest,Romania,False,37,36
2020-09-04,Scotland,Israel,1.0,1.0,UEFA Nations League,Glasgow,Scotland,False,50,93
2020-09-04,Slovakia,Czech Republic,1.0,3.0,UEFA Nations League,Bratislava,Slovakia,False,32,0
2020-09-04,Lithuania,Kazakhstan,0.0,2.0,UEFA Nations League,Vilnius,Lithuania,False,131,118
2020-09-04,Belarus,Albania,0.0,2.0,UEFA Nations League,Minsk,Belarus,False,87,66
2020-09-05,Iceland,England,0.0,1.0,UEFA Nations League,Reykjavík,Iceland,False,39,4
2020-09-05,Denmark,Belgium,0.0,2.0,UEFA Nations League,Copenhagen,Denmark,False,16,1
2020-09-05,Portugal,Croatia,4.0,1.0,UEFA Nations League,Porto,Portugal,False,7,6
2020-09-05,Sweden,France,0.0,1.0,UEFA Nations League,Stockholm,Sweden,False,17,2
2020-09-05,Cyprus,Montenegro,0.0,2.0,UEFA Nations League,Nicosia,Cyprus,False,95,64
2020-09-05,Azerbaijan,Luxembourg,1.0,2.0,UEFA Nations League,Baku,Azerbaijan,False,114,98
2020-09-05,North Macedonia,Armenia,2.0,1.0,UEFA Nations League,Skopje,North Macedonia,False,68,102
2020-09-05,Estonia,Georgia,0.0,1.0,UEFA Nations League,Tallinn,Estonia,False,104,91
2020-09-05,Gibraltar,San Marino,1.0,0.0,UEFA Nations League,Gibraltar,Gibraltar,False,196,209
2020-09-06,Spain,Ukraine,4.0,0.0,UEFA Nations League,Madrid,Spain,False,8,24
2020-09-06,Switzerland,Germany,1.0,1.0,UEFA Nations League,Basel,Switzerland,False,12,15
2020-09-06,Hungary,Russia,2.0,3.0,UEFA Nations League,Budapest,Hungary,False,52,38
2020-09-06,Serbia,Turkey,0.0,0.0,UEFA Nations League,Belgrade,Serbia,False,29,29
2020-09-06,Wales,Bulgaria,1.0,0.0,UEFA Nations League,Cardiff,Wales,False,23,59
2020-09-06,Republic of Ireland,Finland,0.0,1.0,UEFA Nations League,Dublin,Republic of Ireland,False,34,58
2020-09-06,Slovenia,Moldova,1.0,0.0,UEFA Nations League,Ljubljana,Slovenia,False,64,175
2020-09-06,Kosovo,Greece,1.0,2.0,UEFA Nations League,Pristina,Kosovo,False,115,54
2020-09-06,Andorra,Faroe Islands,0.0,1.0,UEFA Nations League,Andorra la Vella,Andorra,False,135,110
2020-09-06,Malta,Latvia,1.0,1.0,UEFA Nations League,Attard,Malta,False,184,137
2020-09-07,Bosnia and Herzegovina,Poland,1.0,2.0,UEFA Nations League,Zenica,Bosnia and Herzegovina,False,49,19
2020-09-07,Netherlands,Italy,0.0,1.0,UEFA Nations League,Amsterdam,Netherlands,False,14,13
2020-09-07,Northern Ireland,Norway,1.0,5.0,UEFA Nations League,Belfast,Northern Ireland,False,36,44
2020-09-07,Austria,Romania,2.0,3.0,UEFA Nations League,Klagenfurt,Austria,False,26,37
2020-09-07,Czech Republic,Scotland,1.0,2.0,UEFA Nations League,Olomouc,Czech Republic,False,0,50
2020-09-07,Israel,Slovakia,1.0,1.0,UEFA Nations League,Netanya,Israel,False,93,32
2020-09-07,Kazakhstan,Belarus,1.0,2.0,UEFA Nations League,Almaty,Kazakhstan,False,118,87
2020-09-07,Albania,Lithuania,0.0,1.0,UEFA Nations League,Tirana,Albania,False,66,131
2020-09-08,Belgium,Iceland,5.0,1.0,UEFA Nations League,Brussels,Belgium,False,1,39
2020-09-08,Denmark,England,0.0,0.0,UEFA Nations League,Copenhagen,Denmark,False,16,4
2020-09-08,France,Croatia,4.0,2.0,UEFA Nations League,Paris,France,False,2,6
2020-09-08,Sweden,Portugal,0.0,2.0,UEFA Nations League,Stockholm,Sweden,False,17,7
2020-09-08,Luxembourg,Montenegro,0.0,1.0,UEFA Nations League,Luxembourg,Luxembourg,False,98,64
2020-09-08,Cyprus,Azerbaijan,0.0,1.0,UEFA Nations League,Nicosia,Cyprus,False,95,114
2020-09-08,Armenia,Estonia,2.0,0.0,UEFA Nations League,Yerevan,Armenia,False,102,104
2020-09-08,Georgia,North Macedonia,1.0,1.0,UEFA Nations League,Tbilisi,Georgia,False,91,68
2020-09-08,San Marino,Liechtenstein,0.0,2.0,UEFA Nations League,Rimini,Italy,True,209,180
2020-10-06,Nicaragua,Guatemala,0.0,0.0,Friendly,Managua,Nicaragua,False,0,0
2020-10-07,Andorra,Cape Verde,1.0,2.0,Friendly,Andorra la Vella,Andorra,False,137,0
2020-10-07,Austria,Greece,2.0,1.0,Friendly,Klagenfurt,Austria,False,27,53
2020-10-07,Cyprus,Czech Republic,1.0,2.0,Friendly,Larnaca,Cyprus,False,98,0
2020-10-07,Denmark,Faroe Islands,4.0,0.0,Friendly,Herning,Denmark,False,16,107
2020-10-07,Estonia,Lithuania,1.0,3.0,Friendly,Tallinn,Estonia,False,108,131
2020-10-07,France,Ukraine,7.0,1.0,Friendly,Paris,France,False,2,24
2020-10-07,Germany,Turkey,3.0,3.0,Friendly,Cologne,Germany,False,14,32
2020-10-07,Italy,Moldova,6.0,0.0,Friendly,Florence,Italy,False,12,175
2020-10-07,Luxembourg,Liechtenstein,1.0,2.0,Friendly,Luxembourg,Luxembourg,False,97,180
2020-10-07,Malta,Gibraltar,2.0,0.0,Friendly,Ta' Qali,Malta,False,186,195
2020-10-07,Montenegro,Latvia,1.0,1.0,Friendly,Podgorica,Montenegro,False,63,137
2020-10-07,Netherlands,Mexico,0.0,1.0,Friendly,Amsterdam,Netherlands,False,13,0
2020-10-07,Poland,Finland,5.0,1.0,Friendly,Gdańsk,Poland,False,19,56
2020-10-07,Portugal,Spain,0.0,0.0,Friendly,Lisbon,Portugal,False,5,7
2020-10-07,Slovenia,San Marino,4.0,0.0,Friendly,Ljubljana,Slovenia,False,64,210
