Date,Home Team,Away Team,Tournament,Stage
2024-06-14,Germany,Scotland,UEFA Euro,
2024-06-15,Hungary,Switzerland,UEFA Euro,
2024-06-15,Spain,Croatia,UEFA Euro,
2024-06-15,Italy,Albania,UEFA Euro,
2024-06-16,Poland,Netherlands,UEFA Euro,
2024-06-16,Slovenia,Denmark,UEFA Euro,
2024-06-16,Serbia,England,UEFA Euro,
2024-06-17,Romania,Ukraine,UEFA Euro,
2024-06-17,Belgium,Slovakia,UEFA Euro,
2024-06-17,Austria,France,UEFA Euro,
2024-06-18,Turkey,Georgia,UEFA Euro,
2024-06-18,Portugal,Czechia,UEFA Euro,
2024-06-19,Croatia,Albania,UEFA Euro,
2024-06-19,Germany,Hungary,UEFA Euro,
2024-06-19,Scotland,Switzerland,UEFA Euro,
2024-06-20,Slovenia,Serbia,UEFA Euro,
2024-06-20,Denmark,England,UEFA Euro,
2024-06-20,Spain,Italy,UEFA Euro,
2024-06-21,Slovakia,Ukraine,UEFA Euro,
2024-06-21,Poland,Austria,UEFA Euro,
2024-06-21,Netherlands,France,UEFA Euro,
2024-06-22,Georgia,Czechia,UEFA Euro,
2024-06-22,Turkey,Portugal,UEFA Euro,
2024-06-22,Belgium,Romania,UEFA Euro,
2024-06-23,Switzerland,Germany,UEFA Euro,
2024-06-23,Scotland,Hungary,UEFA Euro,
2024-06-24,Albania,Spain,UEFA Euro,
2024-06-24,Croatia,Italy,UEFA Euro,
2024-06-25,France,Poland,UEFA Euro,
2024-06-25,Netherlands,Austria,UEFA Euro,
2024-06-25,England,Slovenia,UEFA Euro,
2024-06-25,Denmark,Serbia,UEFA Euro,
2024-06-26,Ukraine,Belgium,UEFA Euro,
2024-06-26,Slovakia,Romania,UEFA Euro,
2024-06-26,Czechia,Turkey,UEFA Euro,
2024-06-26,Georgia,Portugal,UEFA Euro,
2024-06-29,1A,2B,UEFA Euro,Round of 16
2024-06-29,1C,2D,UEFA Euro,Round of 16
2024-06-30,1B,2A,UEFA Euro,Round of 16
2024-06-30,1D,2C,UEFA Euro,Round of 16
2024-07-01,1E,2F,UEFA Euro,Round of 16
2024-07-01,1G,2H,UEFA Euro,Round of 16
2024-07-02,1F,2E,UEFA Euro,Round of 16
2024-07-02,1H,2G,UEFA Euro,Round of 16
2024-07-05,W49,W50,UEFA Euro,Quarter-finals
2024-07-05,W51,W52,UEFA Euro,Quarter-finals
2024-07-06,W53,W54,UEFA Euro,Quarter-finals
2024-07-06,W55,W56,UEFA Euro,Quarter-finals
2024-07-09,W57,W58,UEFA Euro,Semi-finals
2024-07-10,W59,W60,UEFA Euro,Semi-finals
2024-07-13,L61,L62,UEFA Euro,Third place
2024-07-14,W61,W62,UEFA Euro,Final
