Date,Stage,Home Team,Away Team,Tournament,Winner
2024-06-14,Groupstage,Germany,Scotland,UEFA Euro,Germany
2024-06-15,Groupstage,Hungary,Switzerland,UEFA Euro,Switzerland
2024-06-15,Groupstage,Spain,Croatia,UEFA Euro,Spain
2024-06-15,Groupstage,Italy,Albania,UEFA Euro,Italy
2024-06-16,Groupstage,Poland,Netherlands,UEFA Euro,Poland
2024-06-16,Groupstage,Slovenia,Denmark,UEFA Euro,
2024-06-16,Groupstage,Serbia,England,UEFA Euro,England
2024-06-17,Groupstage,Romania,Ukraine,UEFA Euro,Romania
2024-06-17,Groupstage,Belgium,Slovakia,UEFA Euro,
2024-06-17,Groupstage,Austria,France,UEFA Euro,Austria
2024-06-18,Groupstage,Turkey,Georgia,UEFA Euro,Turkey
2024-06-18,Groupstage,Portugal,Czech Republic,UEFA Euro,Portugal
2024-06-19,Groupstage,Croatia,Albania,UEFA Euro,Albania
2024-06-19,Groupstage,Germany,Hungary,UEFA Euro,
2024-06-19,Groupstage,Scotland,Switzerland,UEFA Euro,Scotland
2024-06-20,Groupstage,Slovenia,Serbia,UEFA Euro,Serbia
2024-06-20,Groupstage,Denmark,England,UEFA Euro,England
2024-06-20,Groupstage,Spain,Italy,UEFA Euro,Italy
2024-06-21,Groupstage,Slovakia,Ukraine,UEFA Euro,
2024-06-21,Groupstage,Poland,Austria,UEFA Euro,
2024-06-21,Groupstage,Netherlands,France,UEFA Euro,France
2024-06-22,Groupstage,Georgia,Czech Republic,UEFA Euro,
2024-06-22,Groupstage,Turkey,Portugal,UEFA Euro,Portugal
2024-06-22,Groupstage,Belgium,Romania,UEFA Euro,Romania
2024-06-23,Groupstage,Switzerland,Germany,UEFA Euro,Germany
2024-06-23,Groupstage,Scotland,Hungary,UEFA Euro,Scotland
2024-06-24,Groupstage,Albania,Spain,UEFA Euro,Spain
2024-06-24,Groupstage,Croatia,Italy,UEFA Euro,Italy
2024-06-25,Groupstage,France,Poland,UEFA Euro,France
2024-06-25,Groupstage,Netherlands,Austria,UEFA Euro,Netherlands
2024-06-25,Groupstage,England,Slovenia,UEFA Euro,England
2024-06-25,Groupstage,Denmark,Serbia,UEFA Euro,Denmark
2024-06-26,Groupstage,Ukraine,Belgium,UEFA Euro,
2024-06-26,Groupstage,Slovakia,Romania,UEFA Euro,Slovakia
2024-06-26,Groupstage,Czech Republic,Turkey,UEFA Euro,Czech Republic
2024-06-26,Groupstage,Georgia,Portugal,UEFA Euro,Portugal
2024-06-29,Round of 16,Germany,Denmark,UEFA Euro,Germany
2024-06-29,Round of 16,Italy,Austria,UEFA Euro,Italy
2024-06-30,Round of 16,Poland,Scotland,UEFA Euro,Poland
2024-06-30,Round of 16,England,Switzerland,UEFA Euro,England
2024-07-01,Round of 16,France,Albania,UEFA Euro,Albania
2024-07-01,Round of 16,Portugal,Slovakia,UEFA Euro,Slovakia
2024-07-02,Round of 16,Germany,Romania,UEFA Euro,Germany
2024-07-02,Round of 16,Italy,Netherlands,UEFA Euro,Italy
2024-07-05,Quarter-finals,Germany,Austria,UEFA Euro,Germany
2024-07-05,Quarter-finals,Poland,Switzerland,UEFA Euro,Poland
2024-07-06,Quarter-finals,France,Slovakia,UEFA Euro,France
2024-07-06,Quarter-finals,Germany,Italy,UEFA Euro,Italy
2024-07-09,Semi-finals,Austria,Switzerland,UEFA Euro,Switzerland
2024-07-10,Semi-finals,France,Italy,UEFA Euro,France
2024-07-14,Final,Switzerland,France,UEFA Euro,France
