Team,Group Stage Exits,Round of 16 Exits,Quarterfinal Exits,Semifinal Exits,Runner-Up,Winner
Germany,0,31,20,19,4,3
Scotland,52,39,5,3,2,1
Hungary,35,37,19,7,4,1
Switzerland,32,46,16,5,4,1
Spain,15,30,28,18,11,2
Croatia,1,36,26,16,6,10
Italy,6,43,19,19,13,9
Albania,90,8,2,0,0,0
Poland,54,30,9,5,4,0
Netherlands,16,23,34,11,5,11
Slovenia,59,33,6,2,2,0
Denmark,23,43,22,8,3,3
Serbia,34,47,16,3,3,0
England,11,36,30,17,10,4
Romania,65,28,6,1,0,0
Ukraine,28,46,14,7,6,4
Belgium,5,31,27,9,7,24
Slovakia,52,39,7,2,1,0
Austria,57,17,14,7,4,3
France,7,18,30,21,9,12
Turkey,46,42,8,3,1,0
Georgia,70,25,4,0,0,0
Portugal,9,29,20,14,0,9
Czech Republic,33,43,18,3,1,3
