Team,Group Stage Exits,Round of 16 Exits,Quarterfinal Exits,Semifinal Exits,Runner-Up,Winner
Germany,1,3,1,1,0,1
Scotland,4,6,0,0,0,0
Hungary,2,2,4,0,0,1
Switzerland,4,4,0,0,0,1
Spain,1,4,4,0,0,0
Croatia,2,2,4,1,0,1
Italy,1,4,2,1,0,2
Albania,8,2,0,0,0,0
Poland,3,5,1,0,0,0
Netherlands,2,2,0,4,4,1
Slovenia,8,1,1,0,0,0
Denmark,3,4,2,1,1,0
Serbia,2,6,0,2,2,0
England,1,2,4,2,2,0
Romania,6,4,0,0,0,0
Ukraine,1,6,2,0,0,1
Belgium,2,3,3,1,1,1
Slovakia,7,1,1,1,0,0
Austria,8,0,1,1,0,0
France,1,2,4,3,0,0
Turkey,2,8,0,0,0,0
Georgia,9,1,0,0,0,0
Portugal,0,2,4,2,0,1
Czech Republic,2,6,2,0,0,0
