Team,Group Stage Exits,Round of 16 Exits,Quarterfinal Exits,Semifinal Exits,Runner-Up,Winner
Germany,0,7,4,0,0,1
Scotland,13,2,1,0,0,0
Hungary,5,5,3,3,3,0
Switzerland,1,9,1,4,1,0
Spain,4,4,3,3,1,0
Croatia,2,8,3,1,0,1
Italy,1,3,5,3,3,2
Albania,15,0,1,0,0,0
Poland,9,2,5,0,0,0
Netherlands,5,3,2,1,1,5
Slovenia,7,7,2,0,0,0
Denmark,4,5,4,2,0,0
Serbia,4,6,4,2,1,0
England,3,5,5,2,1,1
Romania,11,3,2,0,0,0
Ukraine,4,8,2,1,0,0
Belgium,1,6,4,2,1,3
Slovakia,9,4,2,1,1,0
Austria,5,8,1,0,0,0
France,1,5,5,2,1,3
Turkey,10,5,0,0,0,0
Georgia,10,6,0,0,0,0
Portugal,1,4,5,5,2,0
Czech Republic,3,13,0,0,0,0
